name,lat,lon,population
Arvada,39.832,-105.151,122903
Pearland,29.5581,-95.3218,122609
Waldorf,38.6085,-76.9194,122310
Independence,39.0871,-94.3501,122230
Rochester,44.0154,-92.478,121870
Logan,41.7399,-111.8422,121666
Harlingen,26.1916,-97.6977,121441
Pueblo,38.2701,-104.6114,120380
Temple,31.1068,-97.3891,120240
Berkeley,37.8722,-122.276,119607
East Los Angeles,34.0326,-118.1691,118964
Duluth,46.7756,-92.1393,118574
Clovis,36.8278,-119.683,118488
Boulder,40.0248,-105.2524,118090
Round Rock,30.527,-97.6642,117735
Port Arthur,29.8554,-93.9264,117348
Redding,40.5698,-122.365,117163
Monroe,32.5185,-92.0774,116927
Cambridge,42.3759,-71.1185,116892
Utica,43.0962,-75.2261,116766
St. Cloud,45.534,-94.1718,116649
Mandeville,30.3751,-90.0904,116649
Clearwater,27.979,-82.7623,116616
West Jordan,40.6024,-112.0008,116045
Richardson,32.9716,-96.7093,115904
West Palm Beach,26.7469,-80.132,115877
The Woodlands,30.1738,-95.5134,115716
Richmond,37.9477,-122.3389,115677
Westminster,39.8837,-105.0624,115535
Saginaw,43.4199,-83.9501,115442
Brandon,27.9367,-82.3,115330
Kailua,21.392,-157.7396,115264
Meridian,43.6116,-116.3977,115227
Ponce,18.0127,-66.6212,114901
Carlsbad,33.1246,-117.2834,114858
Lowell,42.6389,-71.3217,114804
North Charleston,32.9067,-80.0722,114542
Downey,33.9379,-118.1311,114293
Gresham,45.5021,-122.4413,114164
Elgin,42.0383,-88.324,114156
Broken Arrow,36.038,-95.7806,112751
Waterloo,42.4918,-92.3522,112333
Costa Mesa,33.6667,-117.9135,112148
Leominster,42.5209,-71.7717,111856
Longview,32.5193,-94.7622,111855
League City,29.4874,-95.1087,111847
Jacksonville,34.7289,-77.3941,111830
Bend,44.0563,-121.3095,111774
Miami Gardens,25.9433,-80.2426,111706
Pompano Beach,26.2428,-80.1312,111423
Sioux City,42.4959,-96.3901,111361
Murrieta,33.5719,-117.1909,111096
Gilroy,37.0046,-121.5854,110720
