,name,lat,lon,population,state
13383,Dassel,45.0831,-94.315,1349,Minnesota
13386,New Pekin,38.5029,-86.0152,1348,Indiana
13387,Ucon,43.5936,-111.9594,1348,Idaho
13388,Falkville,34.3793,-86.9086,1347,Alabama
13390,Rome City,41.4893,-85.361,1347,Indiana
13391,Oceana,37.6927,-81.6324,1347,West Virginia
13392,Farmland,40.1895,-85.1273,1347,Indiana
13393,South Uniontown,39.8939,-79.7465,1347,Pennsylvania
13394,Gholson,31.7123,-97.236,1346,Texas
13396,Sharon Center,41.0961,-81.7393,1346,Ohio
13399,New Castle Northwest,41.0221,-80.3566,1345,Pennsylvania
13400,William Paterson University of New Jersey,40.9478,-74.1989,1345,New Jersey
13402,Wauregan,41.7498,-71.9138,1345,Connecticut
13404,Buchanan Dam,30.7807,-98.4392,1344,Texas
13406,Earlham,41.4943,-94.122,1343,Iowa
13407,Cumberland Head,44.7177,-73.398,1343,New York
13408,Doña Ana,32.394,-106.8177,1343,New Mexico
13409,Scottville,43.9511,-86.2798,1343,Michigan
13411,El Rancho,35.8928,-106.0856,1342,New Mexico
13412,Hughes Springs,32.9987,-94.6311,1342,Texas
13413,Cashion,35.8009,-97.6771,1342,Oklahoma
13414,China Spring,31.6492,-97.3048,1342,Texas
13417,Des Arc,34.9776,-91.5067,1341,Arkansas
13418,New Hackensack,41.6194,-73.8593,1341,New York
13419,Vander,35.0347,-78.7887,1341,North Carolina
13420,Webberville,42.6643,-84.1797,1340,Michigan
13421,Tower Lakes,42.2315,-88.1537,1340,Illinois
13422,Grantsburg,45.7813,-92.6836,1339,Wisconsin
13425,West Swanzey,42.8707,-72.3225,1339,New Hampshire
13427,Seven Points,32.3291,-96.2142,1339,Texas
13428,Ecru,34.355,-89.0222,1339,Mississippi
13429,Newfoundland,41.0594,-74.4308,1338,New Jersey
13430,Urania,31.8639,-92.2913,1338,Louisiana
13431,Harbor Isle,40.6018,-73.6647,1338,New York
13432,Avis,41.1858,-77.3164,1338,Pennsylvania
13433,Miller,44.5204,-98.9869,1338,South Dakota
13434,Fort Clark Springs,29.2937,-100.4244,1338,Texas
13435,Flordell Hills,38.7174,-90.2648,1338,Missouri
13436,Big Bass Lake,41.2525,-75.4795,1338,Pennsylvania
13439,Waldo,33.3524,-93.2956,1337,Arkansas
13440,Penhook,36.9908,-79.6318,1337,Virginia
13441,Thomas,35.7452,-98.7451,1337,Oklahoma
13442,Sparkill,41.0289,-73.9333,1337,New York
13443,Nellysford,37.9132,-78.8829,1337,Virginia
13444,Yamhill,45.3409,-123.1846,1337,Oregon
13445,Menard,30.9185,-99.7837,1336,Texas
13446,Forreston,42.1273,-89.5784,1336,Illinois
13447,Rainbow Lakes,40.875,-74.4535,1336,New Jersey
13448,Leland Grove,39.7787,-89.6838,1336,Illinois
13450,Foscoe,36.1535,-81.7737,1336,North Carolina
13451,Pahoa,19.496,-154.9453,1336,Hawaii
13452,Pelzer,34.6433,-82.4588,1335,South Carolina
13454,Gwinn,46.2858,-87.4425,1335,Michigan
13455,Tioga,48.3947,-102.9431,1335,North Dakota
13456,Tryon,35.2086,-82.2379,1334,North Carolina
